island_Dream,species_Adelie,species_Gentoo,island_Biscoe,species_Chinstrap,sex_FEMALE,sex_.,sex_MALE,culmen_length_mm,sex_NA,island_Torgersen,body_mass_g,culmen_depth_mm,flipper_length_mm
0,1,0,0,0,0,0,1,39.1,0,1,3750,18.7,181
0,1,0,0,0,1,0,0,39.5,0,1,3800,17.4,186
0,1,0,0,0,1,0,0,40.3,0,1,3250,18,195
0,1,0,0,0,0,0,0,NA,1,1,NA,NA,NA
0,1,0,0,0,1,0,0,36.7,0,1,3450,19.3,193
0,1,0,0,0,0,0,1,39.3,0,1,3650,20.6,190
0,1,0,0,0,1,0,0,38.9,0,1,3625,17.8,181
0,1,0,0,0,0,0,1,39.2,0,1,4675,19.6,195
0,1,0,0,0,0,0,0,34.1,1,1,3475,18.1,193
0,1,0,0,0,0,0,0,42,1,1,4250,20.2,190
0,1,0,0,0,0,0,0,37.8,1,1,3300,17.1,186
0,1,0,0,0,0,0,0,37.8,1,1,3700,17.3,180
0,1,0,0,0,1,0,0,41.1,0,1,3200,17.6,182
0,1,0,0,0,0,0,1,38.6,0,1,3800,21.2,191
0,1,0,0,0,0,0,1,34.6,0,1,4400,21.1,198
0,1,0,0,0,1,0,0,36.6,0,1,3700,17.8,185
0,1,0,0,0,1,0,0,38.7,0,1,3450,19,195
0,1,0,0,0,0,0,1,42.5,0,1,4500,20.7,197
0,1,0,0,0,1,0,0,34.4,0,1,3325,18.4,184
0,1,0,0,0,0,0,1,46,0,1,4200,21.5,194
0,1,0,1,0,1,0,0,37.8,0,0,3400,18.3,174
0,1,0,1,0,0,0,1,37.7,0,0,3600,18.7,180
0,1,0,1,0,1,0,0,35.9,0,0,3800,19.2,189
0,1,0,1,0,0,0,1,38.2,0,0,3950,18.1,185
0,1,0,1,0,0,0,1,38.8,0,0,3800,17.2,180
0,1,0,1,0,1,0,0,35.3,0,0,3800,18.9,187
0,1,0,1,0,0,0,1,40.6,0,0,3550,18.6,183
0,1,0,1,0,1,0,0,40.5,0,0,3200,17.9,187
0,1,0,1,0,1,0,0,37.9,0,0,3150,18.6,172
0,1,0,1,0,0,0,1,40.5,0,0,3950,18.9,180
1,1,0,0,0,1,0,0,39.5,0,0,3250,16.7,178
1,1,0,0,0,0,0,1,37.2,0,0,3900,18.1,178
1,1,0,0,0,1,0,0,39.5,0,0,3300,17.8,188
1,1,0,0,0,0,0,1,40.9,0,0,3900,18.9,184
1,1,0,0,0,1,0,0,36.4,0,0,3325,17,195
1,1,0,0,0,0,0,1,39.2,0,0,4150,21.1,196
1,1,0,0,0,0,0,1,38.8,0,0,3950,20,190
1,1,0,0,0,1,0,0,42.2,0,0,3550,18.5,180
1,1,0,0,0,1,0,0,37.6,0,0,3300,19.3,181
1,1,0,0,0,0,0,1,39.8,0,0,4650,19.1,184
1,1,0,0,0,1,0,0,36.5,0,0,3150,18,182
1,1,0,0,0,0,0,1,40.8,0,0,3900,18.4,195
1,1,0,0,0,1,0,0,36,0,0,3100,18.5,186
1,1,0,0,0,0,0,1,44.1,0,0,4400,19.7,196
1,1,0,0,0,1,0,0,37,0,0,3000,16.9,185
1,1,0,0,0,0,0,1,39.6,0,0,4600,18.8,190
1,1,0,0,0,0,0,1,41.1,0,0,3425,19,182
1,1,0,0,0,0,0,0,37.5,1,0,2975,18.9,179
1,1,0,0,0,1,0,0,36,0,0,3450,17.9,190
1,1,0,0,0,0,0,1,42.3,0,0,4150,21.2,191
0,1,0,1,0,1,0,0,39.6,0,0,3500,17.7,186
0,1,0,1,0,0,0,1,40.1,0,0,4300,18.9,188
0,1,0,1,0,1,0,0,35,0,0,3450,17.9,190
0,1,0,1,0,0,0,1,42,0,0,4050,19.5,200
0,1,0,1,0,1,0,0,34.5,0,0,2900,18.1,187
0,1,0,1,0,0,0,1,41.4,0,0,3700,18.6,191
0,1,0,1,0,1,0,0,39,0,0,3550,17.5,186
0,1,0,1,0,0,0,1,40.6,0,0,3800,18.8,193
0,1,0,1,0,1,0,0,36.5,0,0,2850,16.6,181
0,1,0,1,0,0,0,1,37.6,0,0,3750,19.1,194
0,1,0,1,0,1,0,0,35.7,0,0,3150,16.9,185
0,1,0,1,0,0,0,1,41.3,0,0,4400,21.1,195
0,1,0,1,0,1,0,0,37.6,0,0,3600,17,185
0,1,0,1,0,0,0,1,41.1,0,0,4050,18.2,192
0,1,0,1,0,1,0,0,36.4,0,0,2850,17.1,184
0,1,0,1,0,0,0,1,41.6,0,0,3950,18,192
0,1,0,1,0,1,0,0,35.5,0,0,3350,16.2,195
0,1,0,1,0,0,0,1,41.1,0,0,4100,19.1,188
0,1,0,0,0,1,0,0,35.9,0,1,3050,16.6,190
0,1,0,0,0,0,0,1,41.8,0,1,4450,19.4,198
0,1,0,0,0,1,0,0,33.5,0,1,3600,19,190
0,1,0,0,0,0,0,1,39.7,0,1,3900,18.4,190
0,1,0,0,0,1,0,0,39.6,0,1,3550,17.2,196
0,1,0,0,0,0,0,1,45.8,0,1,4150,18.9,197
0,1,0,0,0,1,0,0,35.5,0,1,3700,17.5,190
0,1,0,0,0,0,0,1,42.8,0,1,4250,18.5,195
0,1,0,0,0,1,0,0,40.9,0,1,3700,16.8,191
0,1,0,0,0,0,0,1,37.2,0,1,3900,19.4,184
0,1,0,0,0,1,0,0,36.2,0,1,3550,16.1,187
0,1,0,0,0,0,0,1,42.1,0,1,4000,19.1,195
0,1,0,0,0,1,0,0,34.6,0,1,3200,17.2,189
0,1,0,0,0,0,0,1,42.9,0,1,4700,17.6,196
0,1,0,0,0,1,0,0,36.7,0,1,3800,18.8,187
0,1,0,0,0,0,0,1,35.1,0,1,4200,19.4,193
1,1,0,0,0,1,0,0,37.3,0,0,3350,17.8,191
1,1,0,0,0,0,0,1,41.3,0,0,3550,20.3,194
1,1,0,0,0,0,0,1,36.3,0,0,3800,19.5,190
1,1,0,0,0,1,0,0,36.9,0,0,3500,18.6,189
1,1,0,0,0,0,0,1,38.3,0,0,3950,19.2,189
1,1,0,0,0,1,0,0,38.9,0,0,3600,18.8,190
1,1,0,0,0,1,0,0,35.7,0,0,3550,18,202
1,1,0,0,0,0,0,1,41.1,0,0,4300,18.1,205
1,1,0,0,0,1,0,0,34,0,0,3400,17.1,185
1,1,0,0,0,0,0,1,39.6,0,0,4450,18.1,186
1,1,0,0,0,1,0,0,36.2,0,0,3300,17.3,187
1,1,0,0,0,0,0,1,40.8,0,0,4300,18.9,208
1,1,0,0,0,1,0,0,38.1,0,0,3700,18.6,190
1,1,0,0,0,0,0,1,40.3,0,0,4350,18.5,196
